Reference, Quantity, Value, Footprint, Datasheet, Bezug, Typ
D88 D89 D90 D92 D93 D94 D95 D96 D97 D98 D99 D100 D101 D102 D103 D91 D106 D108 D109 D110 D111 D112 D113 D114 D115 D116 D117 D118 D119 D120 D121 D107 D37 D49 ,34,"1N4448W7F DII","mylib:Diode_DO213AB-MELF_SOD123","https://cdn-reichelt.de/documents/datenblatt/A400/1N4448W_ENG_TDS.pdf","https://www.reichelt.de/gleichrichterdiode-75-v-0-5-a-sod-123-1n-4448w7f-dii-p219387.html?search=1N4448","1N 4448W7F DII Gleichrichterdiode, 75 V, 0,5 A, SOD-123, alternativ 1N4007 SMD MELF"
D9 D10 D11 D12 D13 D14 D15 D16 D1 D3 D4 D5 D6 D7 D8 D2 ,16,"P6SMB 5,0CA SMD","mylib:DO-214AA_man","https://cdn-reichelt.de/documents/datenblatt/A400/SMBJ_LITTELFUSE_DATASHEET.pdf","https://www.reichelt.de/tvs-diode-bidirectional-5-v-600-w-do-214aa-smb-p6smb-5-0ca-smd-p204337.html?&trstct=pos_0&nbc=1","P6SMB 5,0CA"
F1 ,1,"500mA F","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_inline_Type-I","https://www.conrad.de/de/p/eska-120-800h-sicherungs-haltefeder-passend-fuer-feinsicherung-5-x-20-mm-6-3-a-250-v-ac-1-st-533920.html","https://www.reichelt.de/sicherungshalter-fuer-5-x-20-mm-10-a-litt-04450001n-p242453.html?&trstct=pos_8&nbc=1","500mA F"
F2 F6 F3 ,3,"50mA","Resistors_SMD:R_1210","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=C400%2FESKA-RUECKSTELLENDE-SICHERUNGEN.pdf","https://www.reichelt.de/ptc-sicherung-smd-1210-60v-50ma-rueckstellend-ptc-fsmd0051210-p279326.html?&trstct=pol_0&nbc=1",""
F5 F4 ,2,"5,6AT","mylib:Sockel_Kleinst-F","","https://www.reichelt.de/sicherungshalter-fuer-kleinstsicherungen-pl-166600-p17544.html?search=sicherungshalter+kleinst","4,0AT-5,6AT, (2,0AT-3,15AT bei AnalogOption Byte-0)"
F7 ,1,"100mA","Resistors_SMD:R_1210_HandSoldering","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=C400%2FESKA-RUECKSTELLENDE-SICHERUNGEN.pdf","https://www.reichelt.de/ptc-sicherung-smd-1210-60v-100ma-rueckstellend-ptc-fsmd0101210-p279329.html?&trstct=pol_1&nbc=1",""
H1 ,1,"MH2,5","mylib:Hole_2,5mm","~","","MH2,5"
H2 ,1,"MH3,5","mylib:Hole_3,5mm","~","","MH3,5"
H31 H32 ,2,"LED-Licht-Leiter_8x3mm_P5.08","mylib:MEN-LED-Lichtleiter_8x3mm_P5.08_5v8","","https://www.reichelt.de/lichtleiter-1x10-fach-3-mm-planar-gerade-men-12721020-p232146.html?search=MEN+12721020","LED-Licht-Leiter_8x3mm_P5.08: MEN 12721020"
H4 H5 H6 H7 H8 H3 H25 H26 H27 H28 H29 H30 ,12,"MountingHole","Mounting_Holes:MountingHole_3mm","~","","MountingHole"
H9 H10 H13 H15 H17 H19 H21 H23 H11 H14 H16 H18 H20 H22 H24 H12 ,16,"LED3.2mm","mylib:Hole_3.2mm","~","","LED3,0"
